mun_code,Descripción general_Descripción general_Población total_2022,Descripción general_Descripción general_Densidad poblacional_2022,Demografía y población_Población desagregada por área_Población rural_2022,Economía_Valor agregado municipal_Valor agregado per cápita_2020,Economía_Valor agregado municipal_Valor agregado_2020
25878,0.0017420343665421052,0.0040508772448350884,0.048879517746600716,0.09619916607216229,0.0011100996138283688
25885,0.0015636919686304708,0.0007820972483363382,0.050020274105911935,0.06234348510245545,0.0006704312159344142
25898,0.0005399635695465103,0.005550275893898505,0.018603519584786316,0.07198596531244351,0.0002749478024771223
25899,0.019728162644216535,0.04597720095579559,0.13139783202227448,0.04427895196806942,0.006302113312627842
27001,0.016682165620977723,0.002441211977910299,0.10173816668018273,0.05035793039348082,0.006244625782053907
27006,0.0016790006446400513,0.0009247617900023417,0.04146730462519937,0.015409985708348003,0.00024684563909388186
27025,0.0034973589756539213,0.0010509431774519543,0.13665288027464656,0.0032950990453546585,0.00027841245275724783
27050,0.0006566645566824415,0.0008480298652019016,0.01712215824615468,0.029996864992993165,0.00014983543125036706
27073,0.0013067472789494074,0.0008287047878447536,0.04778741924147812,0.04097140211672723,0.00040908537381630333
27075,0.0011800469664515038,0.0005922567825337677,0.02153380369259049,0.005366627066270811,8.52475062751874e-05
27077,0.0037768337908341124,0.000468917318224912,0.1301056956721542,0.001495441670402449,0.000261260295197614
27099,0.0014435734905480426,0.00018472500414920776,0.061092639147946916,0.011642873380121481,0.00017233427134105876
27135,0.0006667904557831731,0.0009418133288468841,0.017668207498715977,0.1360203694634181,0.000669019691746215
27150,0.0023675617834897976,0.00033648369986563387,0.09454221068850864,0.029372153458448833,0.000570512412794004
27160,0.0005990735055470308,0.0010895933321662503,0.012375314248641635,0.020146539365171585,9.136411109071765e-05
27205,0.0014486364400984083,0.0011248331791116376,0.014126996999432326,0.04590180541501057,0.0005015188214132326
27245,0.0009142421150573006,0.0004933578572354227,0.030632822425864355,0.04539290320529198,0.00031267399441626696
27250,0.002802342576127459,0.00033591531523748244,0.11596247938799233,0.0,0.00015702137257210888
27361,0.003819742288273462,0.000873607173468715,0.04564647365717839,0.04391888006630638,0.001277771578002345
27372,0.0007381780444433306,0.0002762349292815845,0.023209796447976647,0.010315091344256646,6.595667570313046e-05
27413,0.0011329615356331021,0.000665010014937148,0.03518503500662288,0.025923302270908243,0.00023837649396468613
27425,0.0012640919289875758,0.00032682116118705994,0.05434001027221367,0.021127355538237205,0.0002273837146808311
27430,0.0018754430871942434,0.0006377275527858804,0.07323007055388857,0.007502149967684807,0.00018277099564168383
27450,0.0012506751126791064,0.0009923995607523592,0.044138080177330855,0.009780414338407213,0.00012951803763234696
27491,0.0010290444961118445,0.000438224548304736,0.02999486389316898,0.017709122353100695,0.0001568075052708666
27495,0.0019987259087456506,0.0009145308666956164,0.08288054496796692,0.0027289198174426012,0.00013550632206713183
27580,0.0005774293962192171,0.0010463961004267433,0.021236450139215532,0.013599859779591297,5.8856281301885547e-05
27600,0.0009448729598370136,0.0006809247845253874,0.03297380585516179,0.02340827256793524,0.00017913525152056444
27615,0.006962315074185501,0.00043708777904843314,0.22226907793366313,0.03497730877853594,0.0019484166612380015
27660,0.0004961690559358463,0.00028873939110091553,0.01970102451815208,0.025072249815906777,9.059418880624532e-05
27745,0.0002722601120709198,0.00013016007984667253,0.01263482280431433,0.010684111659319175,5.00449484907021e-06
27787,0.0021617528842674287,0.0017801806553702116,0.038937096207390595,0.036078497456818036,0.0006128153649797341
27800,0.0015071135074051331,0.0005507647046787149,0.04781985781093721,0.035213325076036785,0.0004155869397740698
27810,0.0007562780890858883,0.0027276778304986095,0.021058038007190548,0.18101682637041644,0.0009922587308438522
41001,0.04673077120239862,0.014322155860159192,0.1313059227421404,0.07745330099745261,0.025139160244908858
41006,0.0031128279573036403,0.002071761969611884,0.11268618387262455,0.06279597933982281,0.0014104120782328297
41013,0.0010077801080003081,0.0017892748094206342,0.01650582542643203,0.05316957785735421,0.00039864864951567826
41016,0.00198695455104105,0.0010930036399351588,0.03049766171978483,0.13086900781114819,0.0017780071956081235
41020,0.0027619655534632916,0.0019245503509206694,0.06316330116508528,0.05065164581715566,0.0010405927409246158
41026,0.0004200982389416005,0.0012390784893700705,0.009585597275160167,0.06708602000177426,0.00021587765387399443
41078,0.0009218365393828491,0.0006320437065043664,0.023036790744194846,0.05468084030039913,0.0003747382852367873
